compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,skipped,error
x01111-1,16,8SVO,WSO,10.0,0.625,template_transferred,0.04316955026035231,,
x01126-1,11,,,,,,,mcs_below_threshold,
x01130-1,11,,,,,,,mcs_below_threshold,
x01131-1,11,6HJ2,P06,11.0,1.0,boltz_model_0,9.716580070579825,,
x01131-1,11,6HJ2,P06,11.0,1.0,boltz_model_1,7.954636787403969,,
x01131-1,11,6HJ2,P06,11.0,1.0,boltz_model_2,7.801709540760585,,
x01131-1,11,6HJ2,P06,11.0,1.0,boltz_model_3,9.522100476869285,,
x01131-1,11,6HJ2,P06,11.0,1.0,boltz_model_4,7.967241611309343,,
x01131-1,11,6HJ2,P06,11.0,1.0,gnina_refined,9.74275138938393,,
x01131-1,11,6HJ2,P06,11.0,1.0,template_transferred,0.05422174507348539,,
x01217-1,13,,,,,,,mcs_below_threshold,
x01233-1,11,,,,,,,mcs_below_threshold,
x01234-1,19,,,,,,,mcs_below_threshold,
x01249-1,11,,,,,,,mcs_below_threshold,
x01260-1,11,,,,,,,mcs_below_threshold,
x01287-1,12,,,,,,,mcs_below_threshold,
x01295-1,13,5A86,D7E,11.0,0.8461538461538461,boltz_model_0,3.0383198745949658,,
x01295-1,13,5A86,D7E,11.0,0.8461538461538461,boltz_model_1,2.9477569203238603,,
x01295-1,13,5A86,D7E,11.0,0.8461538461538461,boltz_model_2,2.848414725873471,,
x01295-1,13,5A86,D7E,11.0,0.8461538461538461,boltz_model_3,3.0626681198282006,,
x01295-1,13,5A86,D7E,11.0,0.8461538461538461,boltz_model_4,3.1489267359830952,,
x01295-1,13,5A86,D7E,11.0,0.8461538461538461,gnina_refined,3.1768702944470695,,
x01295-1,13,5A86,D7E,11.0,0.8461538461538461,template_transferred,0.05779406942145167,,
x01306-1,11,,,,,,,mcs_below_threshold,
x01325-1,15,6TFI,N6H,9.0,0.6,boltz_model_0,6.0070886764474105,,
x01325-1,15,6TFI,N6H,9.0,0.6,boltz_model_1,6.229586216373365,,
x01325-1,15,6TFI,N6H,9.0,0.6,boltz_model_2,5.617584525416454,,
x01325-1,15,6TFI,N6H,9.0,0.6,boltz_model_3,6.181504665598376,,
x01325-1,15,6TFI,N6H,9.0,0.6,boltz_model_4,5.956560397707058,,
x01325-1,15,6TFI,N6H,9.0,0.6,gnina_refined,5.758552982929681,,
x01325-1,15,6TFI,N6H,9.0,0.6,template_transferred,0.03710158725510195,,
x01334-1,16,6HTY,GRH,9.0,0.5625,boltz_model_0,3.7805765750201386,,
x01334-1,16,6HTY,GRH,9.0,0.5625,boltz_model_1,4.534833335981,,
x01334-1,16,6HTY,GRH,9.0,0.5625,boltz_model_2,5.085315981946477,,
x01334-1,16,6HTY,GRH,9.0,0.5625,boltz_model_3,4.915313839122102,,
x01334-1,16,6HTY,GRH,9.0,0.5625,boltz_model_4,4.959027252431197,,
x01334-1,16,6HTY,GRH,9.0,0.5625,gnina_refined,3.989227187460411,,
x01334-1,16,6HTY,GRH,9.0,0.5625,template_transferred,0.06264612168566823,,
